segmentKeys,lat_dd,lon_dd,width_m,MSR_03min_glon,MSR_03min_glat
8_771,40.1421681585,-95.433182544,219.0,379,195
8_836,40.1596468587,-95.4373289386,233.0,379,195
8_897,40.167968882,-95.4591148568,254.0,378,194
8_952,40.1820628857,-95.4761837631,256.0,378,194
8_1016,40.1992355136,-95.4819189026,223.0,378,194
8_1077,40.2159486949,-95.4712485636,256.0,378,193
8_1144,40.2340445729,-95.4717303345,237.0,378,193
8_1202,40.2473638098,-95.4870273912,223.0,378,193
8_1270,40.2477911321,-95.5110250219,225.0,377,193
8_1334,40.2536524212,-95.5334622412,204.0,377,193
8_1394,40.2633244489,-95.5544594134,246.0,376,192
8_1458,40.2806986285,-95.5508794912,189.0,376,192
8_1519,40.2962799336,-95.5611711808,216.0,376,192
8_1585,40.2999471288,-95.5846040841,216.0,376,192
8_1641,40.3115348752,-95.6041082982,258.0,375,191
8_1707,40.3103332114,-95.6273598968,216.0,375,191
8_1772,40.3060300958,-95.6501363068,258.0,375,191
8_1833,40.3216328477,-95.6532181349,254.0,374,191
8_1895,40.3295575407,-95.6316367132,243.0,374,191
8_1958,40.3452866742,-95.6232422599,228.0,374,191
8_2015,40.3603911823,-95.6363686672,254.0,375,190
8_2081,40.3781057045,-95.6416530511,225.0,375,190
8_2146,40.3955094038,-95.6486954858,213.0,375,190
8_2206,40.4114610297,-95.6601037203,270.0,374,189
8_2272,40.4293977404,-95.6556833483,234.0,374,189
8_2337,40.4468245923,-95.6616752687,213.0,374,189
8_2394,40.460201332,-95.679184923,216.0,374,188
8_2451,40.4738781446,-95.6952982617,189.0,374,188
9_73,39.3770218678,-93.1338088181,342.0,425,210
9_201,39.4068486188,-93.1676661735,339.0,424,209
9_340,39.3907180906,-93.1972396144,382.0,424,210
9_474,39.355159994,-93.2034071979,339.0,424,210
9_609,39.3256309037,-93.23708285,360.0,423,211
9_745,39.3093072147,-93.2836561004,379.0,423,211
9_894,39.3068716089,-93.3354923582,424.0,421,211
9_1031,39.2698473663,-93.3318379766,324.0,421,212
9_1171,39.2411222114,-93.3556894131,300.0,420,213
9_1309,39.2267738689,-93.4035808043,379.0,419,213
9_1444,39.260155097,-93.4048153311,402.0,419,212
9_1582,39.2716075681,-93.4514844003,382.0,419,212
9_1721,39.2882272506,-93.4863777712,381.0,418,212
9_1864,39.2495476277,-93.4918471102,375.0,418,213
9_2003,39.2158310469,-93.5060333983,346.0,417,213
9_2152,39.2178923283,-93.5578284778,398.0,416,213
9_2286,39.2406744752,-93.5972911205,473.0,416,213
9_2428,39.231760882,-93.6465727523,360.0,415,213
9_2567,39.2201513576,-93.6911235916,393.0,414,213
9_2708,39.2083897533,-93.7356581123,379.0,413,213
10_2105,38.6707203946,-90.6896299726,546.0,-1000,-1000
10_2221,38.64965654,-90.7251215016,721.0,-1000,-1000
10_2332,38.6212735988,-90.7530671272,488.0,-1000,-1000
10_2449,38.5924322216,-90.7785933808,441.0,-1000,-1000
10_2573,38.5798618955,-90.821682537,426.0,-1000,-1000
10_2685,38.5582400641,-90.858483645,441.0,-1000,-1000
10_2799,38.5393510246,-90.8975921551,486.0,-1000,-1000
10_2930,38.5370447452,-90.9427456145,474.0,-1000,-1000
10_3051,38.553170069,-90.9839401264,379.0,-1000,-1000
10_3167,38.5731352678,-91.0212601684,453.0,-1000,-1000
10_3282,38.6031446204,-91.0455839547,468.0,-1000,-1000
10_3411,38.6064452929,-91.0899360462,510.0,-1000,-1000
10_3541,38.6016282752,-91.1348472021,727.0,465,226
10_3669,38.6115102508,-91.1786920391,660.0,464,225
10_3798,38.6205706121,-91.2229139742,429.0,463,225
10_3921,38.6533781004,-91.2383063021,509.0,463,225
10_4026,38.6774228109,-91.2735820414,424.0,462,224
10_4129,38.7022630404,-91.3085175385,509.0,461,223
10_4249,38.6975847774,-91.3500226309,886.0,461,223
10_4376,38.706707494,-91.3936282787,476.0,460,224
10_4508,38.7092159961,-91.4391143039,473.0,459,223
10_4636,38.6993921615,-91.4834841758,481.0,458,223
10_4759,38.6857457872,-91.5261958617,426.0,457,224
11_141,38.56228383,-91.9932135929,216.0,447,227
11_360,38.5198166067,-92.022540149,298.0,447,227
11_464,38.4915814787,-92.0084740403,189.0,447,228
11_564,38.4692233672,-92.0343999171,292.0,447,228
11_679,38.466298691,-92.0739844536,234.0,446,228
11_789,38.4565892457,-92.1119297792,189.0,445,228
11_888,38.4731925836,-92.1450852662,190.0,445,228
11_994,38.4581853328,-92.1634858323,234.0,444,228
11_1098,38.4304970154,-92.1479948871,237.0,445,229
11_1196,38.4118826409,-92.1169443088,169.0,445,229
11_1301,38.3854821319,-92.1296311628,216.0,445,230
11_1409,38.3765601024,-92.1668307707,151.0,444,230
11_1508,38.4005102796,-92.1894029824,156.0,444,230
11_1608,38.4232442554,-92.2126905461,117.0,443,229
11_249,38.5498568741,-92.0262647992,284.0,447,227
15_72,38.7996357033,-92.3797489673,409.0,440,222
15_121,38.7864212352,-92.3859082064,420.0,440,222
15_163,38.7762149284,-92.3987741995,618.0,440,222
15_209,38.765177839,-92.4080175725,420.0,439,223
15_260,38.7513792436,-92.4058874674,403.0,439,223
15_305,38.7394348627,-92.3963212163,510.0,440,223
15_353,38.7338062192,-92.3798009435,532.0,440,223
15_404,38.7300619697,-92.36223112,429.0,440,223
15_445,38.7202556721,-92.3488596326,363.0,440,224
15_492,38.7075141448,-92.3425921201,458.0,440,224
15_535,38.6970354012,-92.3542449531,351.0,440,224
15_582,38.6846367972,-92.3610823974,671.0,440,224
15_627,38.6752406796,-92.3485779077,370.0,441,224
15_677,38.6716289826,-92.3313676448,443.0,441,224
15_729,38.6690920672,-92.3134591736,371.0,441,224
15_780,38.6662841609,-92.295899469,417.0,442,224
15_827,38.6595622737,-92.2797596339,416.0,442,224
15_868,38.6497488231,-92.2667572506,534.0,442,224
15_915,38.6443768378,-92.2509545158,531.0,443,225
15_966,38.6450739509,-92.2333659795,371.0,443,225
16_702,39.1910399413,-92.8690921113,402.0,430,214
16_740,39.1833492273,-92.881958379,366.0,430,214
16_780,39.1761986785,-92.8958629855,402.0,430,214
16_819,39.1656627236,-92.9040392379,389.0,429,214
16_865,39.1532285441,-92.9054449414,436.0,429,214
16_909,39.1413370396,-92.9094530171,474.0,429,215
16_947,39.1314772305,-92.9195314439,373.0,429,215
16_992,39.1279726178,-92.9351540022,426.0,429,215
16_1034,39.118650819,-92.9443589388,408.0,429,215
16_1080,39.1062153923,-92.9443687168,445.0,429,215
16_1120,39.0983691266,-92.9320587205,321.0,429,216
