segmentKeys,lat_dd,lon_dd,width_m,MSR_03min_glon,MSR_03min_glat
78_118,42.6743910357,-98.0391485156,80.0,327,144
78_140,42.6684466354,-98.0390570369,30.0,327,144
78_161,42.6630378829,-98.0384082201,42.0,327,144
78_183,42.6576613395,-98.0416023332,67.0,327,144
78_205,42.6517429075,-98.0446211822,54.0,327,144
78_226,42.6460914735,-98.0472694127,54.0,327,145
78_247,42.64119708,-98.0435017888,63.0,327,145
78_269,42.6352557003,-98.0437757384,60.0,327,145
78_291,42.6293249904,-98.0453299885,36.0,327,145
78_311,42.6244335902,-98.0419292942,84.0,327,145
78_330,42.6205949448,-98.0352206062,54.0,327,145
78_351,42.6149375476,-98.0371368457,67.0,327,145
78_372,42.6092416746,-98.0344814849,67.0,327,145
78_395,42.6030131954,-98.0327491217,67.0,327,145
84_4855,41.0368102119,-95.8601729238,223.0,370,177
84_5035,40.9908146349,-95.8517638737,174.0,371,178
84_5215,40.9481796345,-95.838523455,223.0,371,179
84_5392,40.9023161613,-95.8135901249,213.0,371,179
84_5572,40.8647551782,-95.8467009832,213.0,371,180
84_5938,40.7666245256,-95.8485477248,174.0,371,182
84_6118,40.7272897194,-95.8873595089,208.0,370,183
84_6293,40.688045528,-95.8464387899,210.0,371,184
84_6473,40.660440639,-95.7929265069,214.0,372,185
84_6649,40.6147177874,-95.7615891853,244.0,372,185
84_6825,40.5720001673,-95.773828296,234.0,372,186
84_7007,40.5252536391,-95.7568487449,189.0,372,187
84_7196,40.5082814762,-95.7032256541,234.0,373,187
88_127,45.6418778042,-109.330106333,150.0,101,85
88_364,45.6963783654,-109.392835656,151.0,100,84
88_606,45.6984737895,-109.476782053,129.0,98,84
88_855,45.7152871156,-109.565753316,337.0,96,83
88_1102,45.7306592285,-109.652884532,147.0,94,83
88_1359,45.7368631008,-109.747210701,148.0,93,83
88_1595,45.7928492024,-109.80617263,142.0,91,82
88_1845,45.8371002633,-109.869353256,147.0,90,81
88_2096,45.8405095784,-109.958139771,263.0,88,81
88_2341,45.8142483291,-110.042809597,233.0,86,82
88_2584,45.7725892212,-110.117221585,245.0,85,82
88_2834,45.7490744572,-110.206109699,244.0,84,83
88_3080,45.7035492006,-110.262634893,92.0,82,83
88_3337,45.7096427467,-110.354863994,108.0,80,83
88_3592,45.7245880978,-110.450302764,105.0,79,83
89_616,47.4219885658,-111.337156622,108.0,61,49
89_855,47.4188602559,-111.387448688,94.0,60,49
89_1335,47.419892339,-111.472173102,142.0,58,49
89_1575,47.407311831,-111.510233833,96.0,57,49
89_2060,47.3577644222,-111.570140264,189.0,56,50
89_2304,47.3167641893,-111.616143154,156.0,55,51
89_2544,47.2979872643,-111.667114457,67.0,54,52
89_3027,47.2142162334,-111.76709226,270.0,52,53
89_3268,47.1715309939,-111.829817496,155.0,51,54
89_3509,47.1355247201,-111.861894873,94.0,50,55
89_3749,47.1213695733,-111.928704164,108.0,49,55
89_3995,47.0707486508,-111.961805556,94.0,48,56
89_4243,47.0235871997,-112.014845849,108.0,47,57
90_617,45.7906474699,-111.512262669,107.0,57,82
90_793,45.744993116,-111.516858608,62.0,57,83
90_980,45.6944850249,-111.519860996,96.0,57,84
90_1320,45.6105227128,-111.57294904,87.0,56,85
90_1504,45.5774607729,-111.596068365,101.0,56,86
90_1681,45.5342720774,-111.592922347,36.0,56,86
90_1848,45.4924686939,-111.633565137,42.0,55,88
91_1192,47.7946674431,-109.227464062,284.0,103,42
91_1336,47.7848657714,-109.170522244,298.0,104,42
91_1479,47.7864326075,-109.117195565,300.0,105,42
91_1619,47.7987248867,-109.06106311,138.0,107,42
91_1759,47.799977782,-109.008131254,239.0,108,41
91_1897,47.7925312973,-108.953134584,175.0,109,42
91_2031,47.7658862458,-108.934962088,204.0,109,42
91_2166,47.7399426927,-108.948394446,192.0,109,43
91_2303,47.7355497777,-108.906951164,166.0,109,43
91_2444,47.7210203222,-108.851127414,189.0,111,43
91_2575,47.6967723157,-108.803741499,169.0,112,44
91_2703,47.662483117,-108.789396706,142.0,112,44
91_2841,47.6479325133,-108.742272412,175.0,113,45
91_2976,47.6284493505,-108.699184741,170.0,114,45
91_3116,47.621344835,-108.648388045,152.0,115,45
91_3258,47.6167216168,-108.594696437,254.0,116,45
91_3400,47.6135566845,-108.540945696,244.0,117,45
91_3537,47.5999974925,-108.506857453,150.0,117,45
91_3679,47.6122005239,-108.460167092,121.0,119,45
91_3817,47.6047387984,-108.428196134,108.0,119,45
91_3953,47.588020154,-108.405073443,137.0,119,46
91_4092,47.5752806934,-108.373189494,123.0,120,46
95_125,47.9429742856,-110.456530188,199.0,78,39
95_207,47.9479549507,-110.426144563,231.0,78,39
95_289,47.9526996386,-110.403791911,171.0,79,38
95_371,47.9538799917,-110.372035078,175.0,80,38
95_456,47.9767939861,-110.366732375,407.0,80,38
95_535,47.990550198,-110.341030854,150.0,81,38
95_617,47.989688845,-110.30927657,204.0,81,38
95_700,48.0118708122,-110.317427937,150.0,82,37
95_782,48.0203366724,-110.289153068,189.0,82,37
95_854,48.0047725058,-110.260810084,212.0,82,37
95_936,48.0124721888,-110.241189971,184.0,83,37
95_1020,48.0308644436,-110.226634334,293.0,83,37
95_1102,48.0371205349,-110.194343764,238.0,84,37
95_1189,48.038758876,-110.159302902,327.0,84,37
95_1264,48.0241074959,-110.130973546,296.0,85,37
95_1345,48.0027178855,-110.122283508,225.0,85,37
95_1426,47.9810328371,-110.110389373,237.0,85,38
95_1500,47.9611803156,-110.091440409,216.0,86,39
95_1576,47.9416010637,-110.073304397,169.0,86,39
95_1653,47.9206778151,-110.056210332,210.0,86,39
97_1221,47.7927130435,-110.700442502,256.0,73,42
97_1349,47.7805336028,-110.742562235,214.0,73,42
97_1475,47.7643001576,-110.790283892,150.0,72,42
97_1538,47.7562411668,-110.812732361,208.0,71,42
97_1602,47.7635669753,-110.837527361,159.0,71,42
97_1665,47.7695373153,-110.861932505,108.0,70,42
97_1729,47.7633509384,-110.881565617,150.0,70,42
97_1794,47.754997544,-110.896394841,134.0,70,42
97_1855,47.7431367771,-110.916027521,170.0,69,43
97_1920,47.7341059594,-110.934047323,152.0,69,43
97_1986,47.7221010681,-110.947463329,161.0,69,43
97_2048,47.7075299772,-110.960075261,190.0,69,43
97_2111,47.6959281449,-110.979675552,138.0,68,44
97_2176,47.6797333722,-110.986876469,189.0,68,44
101_800,45.6122653354,-108.984316382,254.0,108,85
101_842,45.6091759596,-109.000586172,200.0,108,85
101_882,45.6033588466,-109.015411511,151.0,108,85
101_923,45.599422207,-109.029783263,189.0,107,86
101_964,45.5913400507,-109.03872008,192.0,107,86
101_1006,45.5871468967,-109.05405744,242.0,106,86
101_1047,45.5828264493,-109.069973705,255.0,106,86
101_1091,45.5852700457,-109.086811292,218.0,105,86
101_1134,45.5829818655,-109.103425143,208.0,105,86
101_1176,45.5864874335,-109.119459598,433.0,105,86
101_1218,45.5874268556,-109.135581029,237.0,105,86
101_1295,45.6029458802,-109.160072167,189.0,104,85
101_1377,45.6132884531,-109.190515275,96.0,104,85
101_1412,45.6198374247,-109.203388174,189.0,103,85
101_1450,45.6253234121,-109.217452322,165.0,103,85
101_1491,45.6217839372,-109.23295754,276.0,103,85
101_1531,45.6253947265,-109.248238067,191.0,103,85
104_224,47.5652313508,-111.108149299,152.0,65,46
104_246,47.5658975811,-111.116925034,136.0,65,46
104_265,47.569128831,-111.124510552,315.0,65,46
104_285,47.566015638,-111.132479886,339.0,65,46
104_305,47.5606108227,-111.13765059,298.0,65,46
104_325,47.5552067607,-111.142022727,233.0,65,46
104_345,47.5523633227,-111.149192223,265.0,65,46
104_365,47.5493833783,-111.157157955,317.0,65,46
104_388,47.5493704463,-111.166328233,218.0,64,47
104_409,47.5473334806,-111.174694361,235.0,64,47
104_427,47.5432732892,-111.181856809,212.0,64,47
104_448,47.5398868312,-111.189419212,218.0,64,47
104_468,47.5354221777,-111.195780792,171.0,64,47
114_145,46.1289144914,-107.465069196,120.0,138,75
114_429,46.0724984721,-107.501544265,229.0,137,76
114_712,46.0096530729,-107.510720834,122.0,137,77
114_1001,45.9567020549,-107.56059151,108.0,137,78
114_1285,45.9046198485,-107.559161338,107.0,136,79
114_1580,45.8329924804,-107.598172448,139.0,136,81
114_2154,45.7127178108,-107.58526607,150.0,136,83
114_2716,45.5870220641,-107.690248411,190.0,134,86
114_2997,45.5190349228,-107.733099571,84.0,133,87
114_2433,45.6453628668,-107.63760276,180.0,135,85
117_160,47.938207795,-103.96068944,215.0,208,39
117_495,47.8478281821,-103.965704518,676.0,208,41
117_1125,47.751651502,-104.0830861,254.0,206,42
117_1437,47.6809371901,-104.136288925,301.0,205,44
117_1752,47.6104692363,-104.1897421,190.0,204,45
117_2681,47.4081886599,-104.34375596,401.0,201,49
117_2997,47.3510948817,-104.418743343,435.0,199,51
117_3917,47.2095051276,-104.65144924,296.0,194,53
117_4233,47.1348529952,-104.695453435,234.0,194,54
117_4543,47.0626476619,-104.755322363,399.0,192,56
117_5182,46.9316388918,-104.87513545,213.0,190,59
117_5482,46.8752787871,-104.966208372,174.0,188,60
117_5784,46.8532516781,-105.082312914,214.0,186,60
117_6107,46.8230304966,-105.184723343,169.0,184,61
117_6423,46.8041467817,-105.30437892,189.0,181,61
117_6739,46.7881194255,-105.420828897,169.0,179,62
121_35,47.9909396224,-103.804216808,360.0,211,38
121_47,47.9877389428,-103.807909498,277.0,211,38
121_59,47.9845422972,-103.812003693,212.0,211,38
121_72,47.9827072175,-103.81727237,558.0,211,38
121_85,47.9797800867,-103.821359446,396.0,211,38
121_100,47.9798417992,-103.827388359,583.0,211,38
121_114,47.9812484144,-103.832984947,218.0,211,38
121_128,47.9829246199,-103.83857579,237.0,211,38
121_142,47.9841957637,-103.844176036,292.0,211,38
121_157,47.9837165588,-103.850217498,313.0,211,38
121_171,47.9825583753,-103.855871806,256.0,210,38
121_184,47.979090127,-103.859968595,258.0,210,38
121_196,47.9758876138,-103.863657012,317.0,210,38
121_207,47.9729588037,-103.86774095,450.0,210,38
121_220,47.9694861656,-103.871434327,366.0,210,38
121_232,47.9665610018,-103.87591915,402.0,210,38
121_244,47.9640443724,-103.880796532,373.0,210,38
121_258,47.9622099913,-103.886462528,379.0,210,38
121_272,47.9609150608,-103.892116586,365.0,210,38
121_287,47.9600285062,-103.898163537,263.0,210,38
121_301,47.9584631269,-103.903822783,342.0,209,38
121_315,47.9571673344,-103.90947601,242.0,209,38
121_330,47.9562798595,-103.915522243,208.0,209,38
121_344,47.9566027053,-103.921141238,366.0,209,38
121_358,47.9594796518,-103.925702744,301.0,209,38
121_370,47.9627499903,-103.92905097,333.0,209,38
121_383,47.9662882351,-103.932193135,303.0,209,38
121_397,47.9700962654,-103.93533018,402.0,209,38
121_409,47.9733681839,-103.93888064,402.0,209,38
121_421,47.9761113488,-103.943648315,324.0,209,38
121_433,47.9785844472,-103.948421976,360.0,209,38
121_445,47.9813272209,-103.953190639,504.0,209,38
121_457,47.9837999274,-103.95796524,561.0,208,38
126_459,46.1095437873,-107.625508904,137.0,135,75
126_564,46.1088793932,-107.665851476,365.0,134,75
126_767,46.0763325634,-107.717824545,219.0,133,76
126_866,46.061989635,-107.747375141,212.0,133,76
126_966,46.0557140375,-107.78352071,291.0,132,76
126_1060,46.0352677656,-107.813509005,259.0,131,77
126_1164,46.0337292339,-107.853750362,211.0,131,77
126_1267,46.0272074016,-107.892953964,107.0,130,77
126_1363,46.0087610153,-107.92279866,225.0,129,77
126_1465,45.9999045553,-107.957396285,292.0,129,77
126_1569,45.99723746,-107.99754717,219.0,128,77
126_1675,45.9962821159,-108.038276883,195.0,127,78
126_1775,45.9941284671,-108.07519596,218.0,126,78
126_1879,45.9969048376,-108.115342329,89.0,125,78
126_1982,46.0007362489,-108.155051102,134.0,125,77
126_2080,45.9924483178,-108.191116784,216.0,124,78
126_2181,45.9828378268,-108.228786978,127.0,123,78
126_2279,45.966323721,-108.260588397,138.0,122,78
133_186,46.3197944827,-107.158949628,206.0,144,71
133_219,46.3250893331,-107.171629575,232.0,144,71
133_254,46.3209546635,-107.183157119,255.0,144,71
133_290,46.3170135326,-107.191573249,291.0,144,71
133_327,46.3175457442,-107.206012782,199.0,143,71
133_364,46.3174016455,-107.220425233,247.0,143,71
133_400,46.3157795001,-107.234387744,284.0,143,71
133_436,46.3119973644,-107.24826094,306.0,143,71
133_474,46.3099517634,-107.262983073,170.0,142,71
133_509,46.3056615368,-107.275078575,379.0,142,71
133_542,46.2967500419,-107.281915717,171.0,142,71
133_577,46.2968818908,-107.295555006,296.0,142,71
133_610,46.2961032681,-107.307403179,211.0,141,71
133_646,46.2864226973,-107.305438615,257.0,141,71
133_819,46.2586106597,-107.338722165,321.0,141,72
133_852,46.2518018527,-107.348163034,117.0,141,72
133_885,46.2483162598,-107.360079215,279.0,140,73
133_919,46.2439959302,-107.373125392,219.0,140,73
133_957,46.2432834759,-107.387882674,184.0,140,73
133_995,46.2432435253,-107.402668954,377.0,139,73
133_1029,46.2371896353,-107.414467145,258.0,139,73
133_1062,46.2281724788,-107.419518244,373.0,139,73
133_1099,46.2181543677,-107.420828346,255.0,139,73
133_1135,46.2088518006,-107.420224939,296.0,139,73
133_1169,46.2036096524,-107.431855383,175.0,139,73
133_1203,46.1945617529,-107.425623801,248.0,139,74
133_1239,46.1848586694,-107.42480801,219.0,139,74
145_373,47.4701695261,-101.441936145,321.0,259,48
145_610,47.4072682525,-101.403633536,384.0,259,49
145_837,47.3503266665,-101.363705411,256.0,260,51
145_1315,47.2599993852,-101.24408377,343.0,263,52
145_1549,47.2780798602,-101.18157645,678.0,264,52
145_1796,47.292706032,-101.084764285,604.0,266,52
145_2019,47.2639302509,-100.99519631,339.0,268,53
145_2255,47.2002567845,-100.993005107,390.0,268,54
145_2482,47.1403418971,-100.944867775,474.0,269,55
145_2731,47.0735308772,-100.920503344,445.0,269,56
145_2958,47.0144665628,-100.884437618,324.0,270,57
167_11849,48.0319304121,-106.132879744,270.0,165,37
167_12323,48.0075510176,-106.042244991,373.0,167,37
167_12801,48.0073893841,-105.901862605,279.0,169,37
167_13285,48.0390365762,-105.782275378,337.0,172,37
167_13769,48.0523301789,-105.640567409,169.0,175,36
167_14246,48.0883097964,-105.517336309,337.0,177,36
167_15736,48.064612995,-105.082212219,240.0,186,36
167_16220,48.0705793594,-104.983958374,160.0,188,36
167_16706,48.149608023,-104.886326309,152.0,190,35
167_17181,48.1182764725,-104.717097003,223.0,193,35
167_17658,48.1251601658,-104.584222624,256.0,196,35
167_18609,48.0497425489,-104.286735673,150.0,202,37
