clusterGeomorphIndex,count,mean,std,min,25%,50%,75%,max
1,46514.0,2.5779301970936817,0.8659347170745332,-2.796881414808826,2.1083933636296037,2.6411978941143697,3.130044611161585,6.1390221114655965
2,42792.0,3.0013477542491716,0.7536570697035065,-2.1037342342488805,2.6837575085331657,3.1432898379116057,3.4759955917373415,6.1903154058531475
3,46514.0,3.2255969364405246,0.746156013004756,-1.6982691261407161,2.837908188360424,3.3769046890931107,3.7252113833613265,6.326811150441685
4,46513.0,3.479191781655511,0.6608502362729517,-1.0051219455807707,3.130044611161585,3.54875494601977,3.912422925449473,6.351583553449269
5,46514.0,3.667735112691963,0.833389781522145,-1.2928040180325517,3.289893312103481,3.82319179172153,4.267877612982976,6.423409288020525
6,46513.0,3.9741544628059997,0.7658874323759756,-1.2928040180325517,3.539944316337615,4.150094577326593,4.4961362649639565,6.66421767551454
7,46514.0,4.508368393665805,0.7456922093711388,-1.8805906829346708,4.192453851165734,4.626687029450341,4.980072988513616,6.377831779524206
8,50235.0,5.08785245508468,1.0512255861380673,-3.3947184155644465,4.458003395268512,5.248706865994702,5.79727281774354,10.632966662343463
