clusterGeomorphIndex,count,mean,std,min,25%,50%,75%,max
1,46514.0,0.38072527912968196,0.6112355926111794,-1.6944629838909577,0.0035723020473070774,0.3252952469307204,0.747458374261197,2.750427051153704
2,42792.0,0.6233506300611741,0.6575378500620778,-1.6944629838909577,0.2149465400458085,0.559767276887222,1.0171863408385662,2.750427051153704
3,46514.0,0.6730380991077431,0.6493250583060152,-1.6944629838909577,0.2411592489371089,0.6181535354137563,1.0359260407760202,3.660494543272625
4,46513.0,0.7356728561287054,0.6902600387736177,-1.5045267384825232,0.2149465400458085,0.6561566108535248,1.1804138775219808,3.660494543272625
5,46514.0,0.7995559136566844,0.7306847903924167,-1.6944629838909577,0.20804725691772188,0.7968443184774302,1.2738943144266395,3.757656319585184
6,46513.0,0.9217662533030481,0.8745932740435465,-1.5913417800904266,0.2397480037491991,0.8452167986202009,1.4830714727202925,3.757656319585184
7,46514.0,1.0907602231995173,0.9164806308264791,-1.5913417800904266,0.40153084970078007,1.1069925873324797,1.6038777350314959,3.885278632169215
8,50235.0,0.9164467778407333,1.04338251335545,-2.5804711263523554,0.29364714591009095,0.875041483372589,1.3621438718842491,8.037716275777314
